Project Title: Reheating by Scalaron Decay
File Type: Data 
Author: Arun Mathew
Affiliation: Dept. of Physics, IIT Guwahati, India

Data: Parameter Space

alpha, beta, n_s, r
9.028029 9.041393 1.000000 0.000000
9.028029 9.079181 1.000000 0.000000
9.028029 9.113943 1.000000 0.000000
9.028029 9.146128 1.000000 0.000000
9.028029 9.176091 1.000000 0.000000
9.028029 9.204120 1.000000 0.000000
9.028029 9.230449 1.000000 0.000000
9.028029 9.255273 1.000000 0.000000
9.028029 9.278754 1.000000 0.000000
9.028029 9.301030 1.000000 0.000000
9.028029 9.322219 1.000000 0.000000
9.028029 9.342423 1.000000 0.000000
9.028029 9.361728 1.000000 0.000000
9.028029 9.380211 1.000000 0.000000
9.028029 9.397940 1.000000 0.000000
9.028029 9.414973 1.000000 0.000000
9.028029 9.431364 1.000000 0.000000
9.028029 9.447158 1.000000 0.000000
9.028029 9.462398 1.000000 0.000000
9.028029 9.477121 1.000000 0.000000
9.028029 9.491362 1.000000 0.000000
9.028029 9.505150 1.000000 0.000000
9.028029 9.518514 1.000000 0.000000
9.028029 9.531479 1.000000 0.000000
9.028029 9.544068 1.000000 0.000000
9.028029 9.556303 1.000000 0.000000
9.028029 9.568202 1.000000 0.000000
9.028029 9.579784 1.000000 0.000000
9.028029 9.591065 1.000000 0.000000
9.028029 9.602060 1.000000 0.000000
9.028029 9.612784 1.000000 0.000000
9.028029 9.623249 1.000000 0.000000
9.028029 9.633468 1.000000 0.000000
9.028029 9.643453 1.000000 0.000000
9.028029 9.653213 1.000000 0.000000
9.028029 9.662758 1.000000 0.000000
9.028029 9.672098 1.000000 0.000000
9.028029 9.681241 1.000000 0.000000
9.028029 9.690196 1.000000 0.000000
9.028029 9.698970 1.000000 0.000000
9.028029 9.707570 1.000000 0.000000
9.028029 9.716003 1.000000 0.000000
9.028029 9.724276 1.000000 0.000000
9.028029 9.732394 1.000000 0.000000
9.028029 9.740363 1.000000 0.000000
9.028029 9.748188 1.000000 0.000000
9.028029 9.755875 1.000000 0.000000
9.028029 9.763428 1.000000 0.000000
9.028029 9.770852 1.000000 0.000000
9.028029 9.778151 1.000000 0.000000
9.028029 9.785330 1.000000 0.000000
9.028029 9.792392 1.000000 0.000000
9.028029 9.799341 1.000000 0.000000
9.028029 9.806180 1.000000 0.000000
9.028029 9.812913 1.000000 0.000000
9.028029 9.819544 1.000000 0.000000
9.028029 9.826075 1.000000 0.000000
9.028029 9.832509 1.000000 0.000000
9.028029 9.838849 1.000000 0.000000
9.028029 9.845098 1.000000 0.000000
9.028029 9.851258 1.000000 0.000000
9.028029 9.857332 1.000000 0.000000
9.028029 9.863323 1.000000 0.000000
9.028029 9.869232 1.000000 0.000000
9.028029 9.875061 1.000000 0.000000
9.028029 9.880814 1.000000 0.000000
9.028029 9.886491 1.000000 0.000000
9.028029 9.892095 1.000000 0.000000
9.028029 9.897627 1.000000 0.000000
9.028029 9.903090 1.000000 0.000000
9.028029 9.908485 1.000000 0.000000
9.028029 9.913814 1.000000 0.000000
9.028029 9.919078 1.000000 0.000000
9.028029 9.924279 1.000000 0.000000
9.028029 9.929419 1.000000 0.000000
9.028029 9.934498 1.000000 0.000000
9.028029 9.939519 1.000000 0.000000
9.028029 9.944483 1.000000 0.000000
9.028029 9.949390 1.000000 0.000000
9.028029 9.954243 1.000000 0.000000
9.028029 9.959041 1.000000 0.000000
9.028029 9.963788 1.000000 0.000000
9.028029 9.968483 1.000000 0.000000
9.028029 9.973128 1.000000 0.000000
9.028029 9.977724 1.000000 0.000000
9.028029 9.982271 1.000000 0.000000
9.028029 9.986772 1.000000 0.000000
9.028029 9.991226 1.000000 0.000000
9.028029 9.995635 1.000000 0.000000
9.028029 10.000000 1.000000 0.000000
9.028029 10.004321 1.000000 0.000000
9.028029 10.008600 1.000000 0.000000
9.028029 10.012837 1.000000 0.000000
9.028029 10.017033 1.000000 0.000000
9.028029 10.021189 1.000000 0.000000
9.028029 10.025306 1.000000 0.000000
9.028029 10.029384 1.000000 0.000000
9.028029 10.033424 1.000000 0.000000
9.028029 10.037426 1.000000 0.000000
